2025-11-09T01:58:54Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:58:54Z, transactions=4
2025-11-09T01:58:54Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T01:59:06Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:59:06Z, transactions=4
2025-11-09T01:59:06Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T01:59:25Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:59:25Z, transactions=8
2025-11-09T01:59:31Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:59:31Z, transactions=8
2025-11-09T01:59:38Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:59:38Z, transactions=8
2025-11-09T01:59:45Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:59:45Z, transactions=8
2025-11-09T01:59:53Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:59:53Z, transactions=8
2025-11-09T01:59:58Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:59:58Z, transactions=4
2025-11-09T01:59:58Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T02:00:11Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T01:00:11Z, transactions=8
2025-11-09T02:12:48Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T01:12:48Z, transactions=8
2025-11-09T02:13:02Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T01:13:02Z, transactions=8
2025-11-09T02:13:25Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T01:13:25Z, transactions=8
2025-11-09T02:13:29Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T01:13:29Z, transactions=4
2025-11-09T02:13:29Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T02:13:44Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T01:13:44Z, transactions=8
2025-11-09T08:11:14Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T07:11:14Z, transactions=8
